index,Country,2010,2011,2012,2013,2014,2015,2016,2017,Country_Code
107,Iraq,0.0,0.0,33.0,29.8,30.6,30.6,29.8,27.2,IRQ
108,Iraq,0.0,0.0,33.0,29.8,30.6,30.6,29.8,27.2,IRQ
109,Iraq,0.0,0.0,33.0,29.8,30.6,30.6,29.8,27.2,IRQ
110,Ireland,3.2,3.2,3.2,5.2,5.4,3.0,2.9,2.9,IRL
111,Israel,7.9,7.9,7.9,7.9,9.9,8.4,8.4,7.0,ISR
112,Italy,11.8,11.4,13.1,11.7,10.6,9.9,11.5,10.5,ITA
113,Jamaica,8.3,8.3,10.6,10.6,5.6,5.6,5.6,5.6,JAM
114,Japan,0.0,0.0,0.0,19.8,19.8,19.8,19.8,1.6,JPN
115,Jordan,25.1,22.4,22.4,22.4,16.9,16.9,16.9,16.9,JOR
116,Kazakhstan,5.3,5.3,6.9,5.9,5.9,5.9,3.2,3.2,KAZ
117,Kazakhstan,5.3,5.3,6.9,5.9,5.9,5.9,3.2,3.2,KAZ
118,Kazakhstan,5.3,5.3,6.9,5.9,5.9,5.9,3.2,3.2,KAZ
119,Kazakhstan,5.3,5.3,6.9,5.9,5.9,5.9,3.2,3.2,KAZ
120,Kenya,29.2,30.7,30.7,30.7,26.0,22.9,22.9,22.9,KEN
121,Kiribati,0.0,0.0,0.0,21.4,21.4,21.4,21.4,21.4,KIR
122,Korea (Republic of),25.5,25.5,25.5,28.1,25.5,25.5,18.5,18.5,KOR
123,Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,17.2,17.8,KWT
124,Kyrgyzstan,11.1,11.1,6.5,6.6,5.0,5.0,5.0,5.0,KGZ
125,Lao People's Democratic Republic,30.5,30.5,31.2,34.1,34.1,34.1,34.1,34.1,LAO
126,Latvia,3.3,3.8,3.6,3.6,3.5,3.8,3.7,3.7,LVA
127,Lebanon,0.0,24.1,24.1,24.1,24.1,24.1,6.2,6.2,LBN
128,Lesotho,24.9,24.3,24.3,24.3,24.3,24.3,21.9,21.9,LSO
129,Liberia,46.4,46.4,46.4,46.4,46.4,42.9,42.9,42.9,LBR
130,Lithuania,4.3,4.1,5.0,6.1,5.9,5.6,5.4,4.5,LTU
131,Luxembourg,6.2,6.2,6.3,6.0,6.0,5.8,8.1,9.4,LUX
132,Madagascar,30.8,30.1,30.1,30.1,35.0,35.0,35.0,35.0,MDG
133,Malawi,34.7,34.7,30.2,30.2,30.2,28.2,28.4,28.4,MWI
134,Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,MYS
135,Maldives,11.5,41.2,41.2,41.2,40.0,40.0,40.0,40.0,MDV
136,Mali,36.9,36.9,36.9,36.9,41.6,41.6,41.6,46.2,MLI
137,Malta,0.0,0.0,5.5,5.7,7.3,6.0,6.7,6.9,MLT
138,Mauritania,43.2,43.2,42.1,45.9,40.8,40.8,40.8,40.8,MRT
139,Mauritius,0.0,13.5,13.5,13.2,13.2,13.2,13.2,13.2,MUS
140,Mexico,17.9,21.9,21.9,21.4,19.7,19.7,17.1,17.1,MEX
141,Micronesia (Federated States of),22.4,22.4,0.0,0.0,0.0,0.0,0.0,0.0,FSM
142,Moldova (Republic of),7.5,6.1,6.1,6.1,7.3,7.3,7.3,7.3,MDA
143,Mongolia,5.8,5.8,8.9,5.2,9.4,9.4,11.9,11.9,MNG
144,Montenegro,9.6,2.5,2.5,2.5,7.4,7.4,7.4,7.4,MNE
145,Morocco,42.7,45.8,45.8,45.8,45.8,45.8,0.0,0.0,MAR
146,Mozambique,28.2,18.2,18.2,18.2,33.8,33.8,33.8,33.8,MOZ
147,Myanmar,0.0,0.0,0.0,19.4,19.4,19.4,26.9,26.9,MMR
148,Namibia,27.8,27.8,27.8,27.8,27.8,25.0,25.0,25.0,NAM
149,Nepal,43.3,43.6,43.6,44.0,41.4,43.9,43.9,40.9,NPL
150,Netherlands,4.0,3.9,3.9,4.1,4.1,4.2,4.6,5.3,NLD
151,New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.7,NZL
152,Nicaragua,33.3,33.3,33.3,33.3,29.5,29.5,25.7,25.7,NIC
153,Niger,31.3,39.5,39.5,39.5,35.0,35.0,35.0,35.0,NER
154,Nigeria,46.0,44.2,45.2,45.2,43.3,43.3,43.8,38.1,NGA
155,Norway,2.4,2.2,2.2,2.4,2.3,2.4,5.3,6.1,NOR
156,Pakistan,46.4,46.4,45.2,45.2,44.4,44.4,44.4,46.2,PAK
157,Palau,0.0,0.0,0.0,12.0,12.0,12.0,12.0,1.9,PLW
158,"Palestine, State of",0.0,0.0,0.0,6.9,16.5,16.5,13.3,14.1,0
159,Panama,9.9,17.8,17.8,16.3,16.6,13.6,13.1,12.5,PAN
160,Papua New Guinea,0.0,0.0,0.0,11.5,11.5,11.5,11.5,11.5,PNG
161,Paraguay,19.8,19.8,0.0,17.2,16.2,14.0,13.8,16.7,PRY
162,Peru,30.2,24.0,24.6,25.6,23.3,20.3,16.1,15.3,PER
163,Philippines,12.9,13.5,13.5,13.5,11.6,11.6,11.6,11.6,PHL
164,Poland,7.1,6.6,6.3,5.6,5.6,5.4,5.4,4.7,POL
165,Portugal,5.7,5.6,5.6,5.7,5.9,5.9,17.5,16.3,PRT
166,Qatar,0.0,0.0,0.0,0.0,0.0,0.0,11.9,11.4,QAT
167,Romania,13.1,5.0,5.0,5.0,4.7,4.6,6.0,6.3,ROU
